№ п/п,Наименование / ФИО,Категория,ОГРН,ИНН,Регион,Город,Дата включения в реестр,Наличие лицензий,"Наличие заключенных договоров, контрактов","Производство инновационной, высокотехнологичной продукции",Среднесписочная численность работников за предшествующий календарный год,gainSum2019,gainSum2020,gainSum2021,gainSum2022,gainSum2023
226118,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЖК ""ГЕОРГ ЛАНДРИН""",Малое предприятие,1167847503010,7801325927,47 - Ленинградская область,,2017-10-01,Нет,Нет,Нет,7.0,299570,314031,302050,143103,92174
226124,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЖК АКАДЕМИЯ""",Малое предприятие,1075405009866,5405341390,54 - Новосибирская область,г Новосибирск,2018-10-08,Нет,Нет,Нет,8.0,1,542333,569206,118990,1486798
226136,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЖК ПАРУСА-3""",Малое предприятие,1146234001100,6234126553,62 - Рязанская область,г Рязань,2016-01-08,Нет,Нет,Нет,29.0,24634,0,148853,285386,147407
226159,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЖК-СТРОЙ""",Малое предприятие,1165275077550,5260436743,52 - Нижегородская область,г Нижний Новгород,2017-10-01,Да,Нет,Нет,42.0,869887,553321,642449,963864,181810
226219,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЖСК-286""",Малое предприятие,1036300905651,6319096072,63 - Самарская область,г Самара,2016-01-08,Нет,Нет,Нет,1.0,77242,17644,13417,25318,
226260,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""З-СИТИ""",Среднее предприятие,1201600002218,1615015194,16 - Республика Татарстан (Татарстан),г Иннополис,2020-10-02,Нет,Нет,Нет,2.0,,,225,0,
226360,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЗАБТЕЛЕКОМСТРОЙ""",Малое предприятие,1087536004137,7536091281,75 - Забайкальский край,г Чита,2016-01-08,Нет,Нет,Нет,13.0,36420,28270,23176,21798,3888
226361,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЗАБТРАНССТРОЙ""",Малое предприятие,1087536006348,7536093610,75 - Забайкальский край,г Чита,2016-01-08,Нет,Нет,Нет,9.0,24853,9829,283,14453,36636
226402,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЗАВОД ЖБИ № 7""",Малое предприятие,1165543079041,5503166509,55 - Омская область,,2016-01-08,Нет,Нет,Нет,49.0,437197,600906,469587,532204,452041
226443,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЗАВОД СТРОИТЕЛЬНЫХ КОНСТРУКЦИЙ ПРОФИЛЬМОНТАЖ""",Малое предприятие,1126453003500,6453122696,64 - Саратовская область,г Саратов,2016-01-08,Нет,Нет,Нет,22.0,45462,62057,54604,58554,110094
