№ п/п,Наименование / ФИО,Категория,ОГРН,ИНН,Регион,Город,Дата включения в реестр,Наличие лицензий,"Наличие заключенных договоров, контрактов","Производство инновационной, высокотехнологичной продукции",Среднесписочная численность работников за предшествующий календарный год,id
380079,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СМАРТ""",Среднее предприятие,1212000002653,2014031002,20 - Чеченская Республика,г Грозный,2023-10-08,Нет,Нет,Нет,1.0,
380081,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СМАРТ""",Малое предприятие,1136165002544,6165180765,61 - Ростовская область,г Ростов-на-Дону,2016-01-08,Да,Нет,Нет,25.0,7822803
380083,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СМАРТ""",Малое предприятие,1067907007300,7902526242,79 - Еврейская автономная область,,2016-01-08,Нет,Нет,Нет,3.0,435169
380220,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СМАРТСТРОЙ""",Малое предприятие,1146952007091,6950180271,69 - Тверская область,г Тверь,2016-01-08,Да,Нет,Нет,36.0,8476204
380362,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СМИС""",Малое предприятие,1034701243367,4705024576,47 - Ленинградская область,г Гатчина,2016-01-08,Нет,Нет,Нет,26.0,942483
380374,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СМИТ""",Малое предприятие,1151690065999,1658181894,16 - Республика Татарстан (Татарстан),,2016-01-08,Да,Нет,Нет,3.0,9372410
380388,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СМК ""РОСТ""",Малое предприятие,1151650021324,1650321490,16 - Республика Татарстан (Татарстан),г Набережные Челны,2016-01-08,Нет,Нет,Нет,3.0,9571355
380389,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СМК ""СЕВЕРО-ЗАПАД""",Малое предприятие,1167847272053,7802585036,78 - г.Санкт-Петербург,,2016-01-08,Нет,Нет,Нет,57.0,9812405
380428,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СМК ГЛАВСТРОЙ""",Малое предприятие,1167746260440,9717019114,77 - г.Москва,,2016-01-08,Нет,Нет,Нет,25.0,9666258
380453,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СМК МОНОЛИТ""",Малое предприятие,1227200007572,7203537474,72 - Тюменская область,г Тюмень,2022-10-05,Нет,Нет,Нет,21.0,11839157
380457,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СМК МОНТАЖСПЕЦСТРОЙ""",Малое предприятие,1135027010546,5027203920,50 - Московская область,г Люберцы,2016-01-08,Нет,Нет,Нет,30.0,8023743
380466,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СМК ОПЛОТ""",Малое предприятие,1152651002184,2624033240,26 - Ставропольский край,г Буденновск,2016-01-08,Нет,Нет,Нет,20.0,9065764
380493,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СМК СКАД""",Малое предприятие,1037707002002,7707315865,77 - г.Москва,,2016-01-08,Нет,Нет,Нет,19.0,5131465
380510,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СМК СТРОЙЦЕНТР""",Малое предприятие,1167746462212,7727291210,77 - г.Москва,,2016-01-08,Нет,Нет,Нет,5.0,9753270
380523,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СМК ЭЛЕНКРОФ""",Малое предприятие,1177746469031,7719469041,77 - г.Москва,,2017-10-06,Нет,Нет,Нет,5.0,10219417
380536,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СМК-22""",Малое предприятие,1142224004724,2224168959,22 - Алтайский край,г Барнаул,2016-01-08,Нет,Нет,Нет,13.0,8861434
380546,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СМК-9""",Малое предприятие,1185476063321,5403043359,54 - Новосибирская область,г Новосибирск,2018-10-08,Нет,Нет,Нет,3.0,10749688
380558,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СМК-ИНЖИНИРИНГ""",Малое предприятие,1145260008926,5260389130,52 - Нижегородская область,г Нижний Новгород,2016-01-08,Нет,Нет,Нет,4.0,8592162
380574,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СМК-ОРИОН""",Малое предприятие,1141001044722,1001291474,10 - Республика Карелия,г Петрозаводск,2017-10-08,Нет,Нет,Нет,31.0,9014439
